,NaiveBayes,DecisionTree,RandomForest
Accuracy,0.49976803902854156,0.9555713479444121,0.9752614362668762
Precision,0.4993887883571401,0.9400522924375991,0.9646848535332501
Recall,0.6138705822497249,0.9731060023427239,0.9865884969887715
F1-score,0.5507433296710879,0.9562936122774965,0.9755137376939861
ROC AUC,0.5042950098459829,0.955591218472382,0.9956209907424728
